"name","itemId","price","currentPrice","brandName","sellerName","ratingScore","itemSold","location","image","itemUrl"
"MI powerbank 20000mah,Xiaomi Redmi MI 20000mah Copy portable charging power | Mi Power Bank 2C 20000mAh | Dual USB Output | Fast Charging | Portable External Battery Pack","936815427","1250","Rs. 1,250","No Brand","LAKHANI TRADER'S",4.42,512,"Sindh","https://static-01.daraz.pk/p/f6f8044d1b18d36f453ee539eca656dc.jpg","https://www.daraz.pk/products/mi-20000mah-mi-20000mah-mi-2c-20000mah-usb-i936815427.html"
"Xiaomi Redmi 20000mAh Portable Power Bank – Fast Charging Battery Pack for All Devices","943750940","849","Rs. 849",".No Brand.","AS Gadgets",4.57,148,"Sindh","https://static-01.daraz.pk/p/f84d2c1dbd698e29e2adc68b31541337.jpg","https://www.daraz.pk/products/20000mah-i943750940.html"
"Audionic Power bank, Spark Pro S-200 20000mAh Powerbank, PD 22.5W powerbank, Dual Charging Ports, Dual Input, High capacity power bank","536490551","4589","Rs. 4,589","Audionic","Dany Technologies (Karachi)",4.82,287,"Sindh","https://static-01.daraz.pk/p/0119652eeac5fe55abd5c56cbf60eb74.png","https://www.daraz.pk/products/200-20000mah-pd-225w-i536490551.html"
"Xiaomi Mi Redmi Power Bank 10400mAh – Fast Charging Portable Charger – Xiaomi Redmi 10400mAh Powerbank – Compact Design – USB & Micro USB – For All Devices","948028143","980","Rs. 980","No Brand","Hammad Shop",4.4,31,"Sindh","https://static-01.daraz.pk/p/4b9547619a2dfb8fb9e0eadf66a9046c.jpg","https://www.daraz.pk/products/mi-10400mah-10400mah-usb-usb-i948028143.html"
"SOVO EPIC SPB-693 6000MAH MINI POWERBANK","833125849","4570","Rs. 4,570","SOVO","Sovo Pakistan",5,17,"Sindh","https://static-01.daraz.pk/p/fdfae727c52881a43ac192a208f9e319.jpg","https://www.daraz.pk/products/spb-693-mah-i833125849.html"
"66W Super Fast Charge PD Power Bank 20000mAh Portable Fast Charging Powerbank With Digital Display, Compatible with Samsung/iPhone/Xiaomi/Huawei and More","456768250","1692","Rs. 1,692","No Brand","Pak_Hub",4.5,179,"Punjab","https://static-01.daraz.pk/p/156ffa780ecbe4178eb9b7249f5dac3a.jpg","https://www.daraz.pk/products/66w-pd-20000mah-i456768250.html"
"B150 Power Bank   20000mAh Power Bank   Fast Charging   Portable Charger   Quick Charge   LED Display   Type C Power Bank   USB Power Bank   Battery Backup   Travel Charger   Mobile Charger   Pocket Power Bank   Smart Charging   High Speed Charging   Comp","1954613997","999","Rs. 999","No Brand","LYARIANZ STORE 2",5,11,"Sindh","https://static-01.daraz.pk/p/124336a34a8a0263ad70c2470eacb2ac.jpg","https://www.daraz.pk/products/b150-20000mah-led-c-usb-comp-i1954613997.html"
"Xiaomi Mi Redmi Power Bank 10400mAh – Fast Charging Portable Charger – Xiaomi Redmi 10400mAh Powerbank – Compact Design – USB & Micro USB – For All Devices","945927575","980","Rs. 980","No Brand","Hammad Shop",1,18,"Sindh","https://static-01.daraz.pk/p/efdf5587b9a238d3e777fea27b17569e.jpg","https://www.daraz.pk/products/mi-10400mah-10400mah-usb-usb-i945927575.html"
"BEME NOMAD Boost Multifunction 10000mAh PowerBank","1954249619","1999","Rs. 1,999","No Brand","MegaModule",0,0,"Punjab","https://static-01.daraz.pk/p/779da35b5dcd7bdbdc353e91aae9946c.jpg","https://www.daraz.pk/products/10000-i1954249619.html"
"20000mah Powerbank LED Lighting Display External Battery Portable Charger","460627228","2999","Rs. 2,999","No Brand","NEX GEN BAZAR",0,0,"Balochistan","https://static-01.daraz.pk/p/71812d09c0f450aaff17e9036b69b646.jpg","https://www.daraz.pk/products/20000mah-led-i460627228.html"
"🔋 Power Bank – 4000 mAh
⚡ Fast Charging Support
📱 Slim & Portable Design
🔵 LED Battery Indicator","1948145175","649","Rs. 649","No Brand","Mini-Hub Online",5,11,"Punjab","https://pk-live-21.slatic.net/kf/Sa9d400e5ac7a4f7595c9b4e57087bd70A.jpg","https://www.daraz.pk/products/4000-i1948145175.html"
"5000mah-Portable Power Bank, Usb Port,Input and Output Fast Charge","669109955","658","Rs. 658","No Brand","Mini Mart Onlinee",3.87,56,"Punjab","https://pk-live-21.slatic.net/kf/Sd6a8b5bb2d6546dca325afcf24e1831fm.jpg","https://www.daraz.pk/products/5000mah-i669109955.html"
"Xiaomi Mi Redmi Power Bank 10400mAh – Fast Charging Portable Charger – Xiaomi Redmi 10400mAh Powerbank – Compact Design – USB & Micro USB – For All Devices","916552231","1350","Rs. 1,350","No Brand","LAKHANI TRADER'S",4.15,89,"Sindh","https://static-01.daraz.pk/p/49af446e92982c1ba9943de25b0f8e8a.jpg","https://www.daraz.pk/products/mi-10400mah-10400mah-usb-usb-i916552231.html"
"100% Original ROMOSS SW10 PF 22.5W 10000mAh Power Bank, 22.5W PD&QC Fast Charge Portable Charger, 3 Outputs and 3 Inputs External Battery Pack with LED Display","1951830273","2599","Rs. 2,599","No Brand","MAT Universe",5,5,"Punjab","https://static-01.daraz.pk/p/41455004e3535d54bc43826365b6a8aa.jpg","https://www.daraz.pk/products/100-romoss-sw10-pf-225w-10000mah-225w-pdqc-3-3-i1951830273.html"
